store_id,store_name,city,state,open_date,annual_sales
1,Homes R Us,Avalon,NJ,19-Dec-2001,3.131
2,Bed Bath & CloseBy,Sea Isle City,NJ,1-Jan-1987,6.512
3,Big Box #3322,Ocean City,NJ,23-Apr-1999,5.332
4,Dandy by Randy,Absecon,NJ,,0.912
5,Aim,Cape Mae,NJ,11-Mar-1994,1.552
6,BrickMart #5123,,NJ,27-Sep-2003,3.876
7,,Avalon,NJ,9-Aug-2000,
8,,Ventnor,NJ,,7.325
9,Big Box #5512,Absecon,NJ,7-Jan-1972,5.517
10,Mo'town,Ventnor,NJ,19-May-1989,0
11,Smokey's Miracles,Brigantine,NJ,2-Nov-2003,1.551
12,Canvas the Canvas,Brigantine,NJ,31-Oct-1999,7.171
13,Big Box #883,Ventnor,NJ,5-Jul-1990,4.177
14,Avalon Cleaners,,NJ,22-Jun-1980,
15,Berthas Botts,Marmora,NJ,9-Dec-1993,3.918
16,Cassie by the Sea,Sephora,NJ,22-Mar-2007,4.933
17,Doggone It!,Moorestown,NJ,,3.613
18,Earful of Sound,Margate,,5-Oct-1979,2.862
19,Big Box #4139,Ventnor,NJ,13-Apr-1998,2.881
20,Gee-zzz-Louise,Wildwood,,24-Feb-1995,1.008
